first_name,id,petType,foundation
Flynn,1,"Dunnart, fat-tailed",8/8/2013
Keri,2,Knob-nosed goose,7/19/2019
Tod,3,"Lemur, ring-tailed",4/13/2018
Edwin,4,Northern fur seal,5/4/2018
Cassandra,5,"Lion, california sea",9/19/2015
Darb,6,Red squirrel,11/29/2016
Josh,7,Ferruginous hawk,5/16/2014
Marigold,8,"Elk, Wapiti",10/4/2016
Barn,9,"Skink, african",10/7/2016
Glen,10,Alpaca,3/11/2019
Prentice,11,White rhinoceros,3/14/2016
Alf,12,Red-capped cardinal,1/10/2015
Lurline,13,"Dragon, western bearded",10/8/2013
Corabelle,14,Two-toed sloth,3/28/2014
Elly,15,"Goose, snow",11/18/2012
Arnuad,16,Manatee,7/12/2013
Ingaberg,17,Wood pigeon,9/18/2017
Auria,18,Long-finned pilot whale,1/13/2017
Osborne,19,"Deer, roe",4/6/2016
Cathyleen,20,"Fox, crab-eating",6/9/2017
Valaria,21,"Jaeger, long-tailed",4/2/2018
Taber,22,Jaguarundi,9/23/2012
Reinold,23,"Rattlesnake, eastern diamondback",11/28/2013
Theadora,24,Giant armadillo,2/1/2017
Valma,25,"Lapwing, southern",12/31/2013
Ally,26,Black-necked stork,11/28/2015
Delores,27,Black swan,7/22/2014
Alvera,28,"Dragon, ornate rock",1/1/2016
Patrizio,29,"Turkey, common",3/20/2016
Micaela,30,Galapagos sea lion,4/5/2013
Hale,31,"Egret, cattle",3/3/2015
Alexandre,32,Malabar squirrel,12/5/2012
Towny,33,White-browed owl,8/16/2017
Hedvige,34,African fish eagle,10/20/2017
Panchito,35,Purple moorhen,7/26/2016
Gustave,36,Klipspringer,4/17/2019
Ciel,37,Coqui francolin,10/8/2012
Berti,38,"Chickadee, black-capped",1/2/2019
Elizabet,39,"Wapiti, elk,",10/20/2017
Hakeem,40,Asian water buffalo,2/3/2018
Nathanael,41,"Iguana, marine",5/1/2016
Alan,42,"Tarantula, salmon pink bird eater",12/17/2018
Paulita,43,"Kudu, greater",5/6/2014
Walther,44,Ant (unidentified),1/14/2015
Felicity,45,Caribou,10/10/2018
Ludovika,46,"Wallaby, agile",8/12/2019
Yvonne,47,"Deer, spotted",2/6/2018
Arlene,48,Asian foreset tortoise,10/27/2015
Charlton,49,"Corella, long-billed",3/31/2017
Zarla,50,Bleeding heart monkey,11/9/2015
Ralf,51,Ringtail cat,11/6/2018
Tammi,52,Hanuman langur,5/19/2016
Dietrich,53,"Raven, cape",12/9/2016
Prissie,54,Osprey,3/11/2017
Lewiss,55,Savannah deer,7/6/2015
Adrea,56,"Antelope, four-horned",9/9/2016
Carita,57,"Spurfowl, yellow-necked",10/7/2014
Byron,58,"Squirrel, european red",6/16/2018
Brianne,59,"Squirrel, smith's bush",3/31/2013
Yanaton,60,"Buffalo, african",10/11/2018
