first_name,id,gender,type,date
Trever,1,Male,"Squirrel, red",3/23/2005
Koressa,2,Female,Common duiker,12/4/2000
Pascale,3,Male,Brown hyena,9/5/2013
Fanechka,4,Female,"Booby, blue-footed",1/23/2001
Verena,5,Female,"Marten, american",5/6/2005
Hilary,6,Male,Blue and yellow macaw,10/7/2002
Angelique,7,Female,Dabchick,7/17/2017
Celisse,8,Female,"Coatimundi, ring-tailed",1/25/2012
Chevalier,9,Male,Western patch-nosed snake,11/12/2009
Conant,10,Male,"Goose, knob-nosed",9/18/2002
Moshe,11,Male,Butterfly (unidentified),6/9/2017
Woodrow,12,Male,White-tailed deer,12/31/2013
Jecho,13,Male,Clark's nutcracker,12/15/2017
Sile,14,Female,Boat-billed heron,7/24/2019
Shermy,15,Male,White-throated robin,8/27/2018
Rochette,16,Female,"Marshbird, brown and yellow",1/12/2017
Ada,17,Female,"Wombat, common",6/17/2010
Shelba,18,Female,"Nuthatch, red-breasted",2/20/2017
Dietrich,19,Male,Puma,7/6/2015
Deeyn,20,Female,"Mongoose, javan gold-spotted",11/25/2012
Glad,21,Female,"Parrot, hawk-headed",3/5/2019
Valle,22,Male,Gila monster,4/2/2004
Margaux,23,Female,Painted stork,2/19/2019
Shea,24,Male,Ground monitor (unidentified),6/25/2007
Rebecka,25,Female,"Bat, little brown",6/19/2013
Nicko,26,Male,Eurasian hoopoe,6/23/2018
Arvie,27,Male,Striped skunk,9/20/2016
Cassondra,28,Female,"Turkey, wild",1/25/2018
Lynnea,29,Female,"Monitor, two-banded",9/19/2017
Emile,30,Male,Plains zebra,9/25/2017
Arni,31,Male,"Cormorant, javanese",8/8/2019
Lyndell,32,Female,Snowy sheathbill,11/28/2014
Klaus,33,Male,Hoffman's sloth,7/25/2015
Basilius,34,Male,"Waterbuck, common",6/22/2014
Thorndike,35,Male,"Hawk, ferruginous",2/1/2012
Fairleigh,36,Male,"Polecat, african",6/4/2004
Virgil,37,Male,Ring-tailed coatimundi,3/18/2006
Christie,38,Male,White-rumped vulture,7/2/2012
Ashlee,39,Female,Green vine snake,12/2/2018
Tarra,40,Female,"Fox, north american red",12/12/2016
Aurthur,41,Male,Bushpig,7/20/2004
Curran,42,Male,Arctic hare,7/24/2019
Joli,43,Female,"Marmot, yellow-bellied",6/21/2010
Banky,44,Male,Magellanic penguin,7/14/2018
Mirelle,45,Female,"Goose, snow",8/19/2002
Engelbert,46,Male,"Admiral, indian red",3/24/2018
Anselma,47,Female,Turtle (unidentified),8/24/2004
Kelby,48,Male,"Lemur, grey mouse",4/25/2003
Winfred,49,Male,Eastern box turtle,8/4/2013
Nettie,50,Female,Striped hyena,4/26/2013
Garwin,51,Male,"Lion, south american sea",2/16/2016
Aigneis,52,Female,White-faced whistling duck,8/26/2005
Ketty,53,Female,Roan antelope,5/24/2002
Vail,54,Male,Baleen whale,3/26/2002
June,55,Female,Asian false vampire bat,8/17/2015
Albertine,56,Female,Common nighthawk,6/10/2014
Jacquelin,57,Female,Canadian river otter,6/24/2013
Dov,58,Male,Whip-tailed wallaby,11/24/2011
Hyacinth,59,Female,Blesbok,10/2/2017
Emmi,60,Female,Black-backed magpie,5/25/2016
Evangelina,61,Female,Knob-nosed goose,6/16/2005
Clint,62,Male,"Flamingo, lesser",3/14/2019
Fidelio,63,Male,"Capuchin, weeper",11/5/2011
Irene,64,Female,Fisher,8/3/2004
Lisabeth,65,Female,Roseat flamingo,4/9/2001
Dorolice,66,Female,"Squirrel, red",12/12/2008
Gregor,67,Male,"Cat, ringtail",10/17/2006
Logan,68,Male,Bohor reedbuck,10/29/2012
Vinny,69,Male,Long-tailed spotted cat,2/9/2005
Fowler,70,Male,Scottish highland cow,10/19/2003
Emlen,71,Male,"Jackal, black-backed",9/29/2005
Ruthy,72,Female,Southern elephant seal,10/10/2010
Hershel,73,Male,"Seal, northern elephant",1/17/2017
Ermanno,74,Male,Blue and gold macaw,6/24/2013
Brenden,75,Male,Golden brush-tailed possum,11/13/2005
Shane,76,Female,"Capuchin, black-capped",5/29/2006
Elfie,77,Female,"Siskin, pine",5/15/2005
Web,78,Male,"Snake, western patch-nosed",7/22/2010
Garv,79,Male,Flightless cormorant,4/29/2018
Ellie,80,Female,"Cardinal, black-throated",3/17/2012
Ingrim,81,Male,Worm snake (unidentified),11/24/2003
Emalee,82,Female,Land iguana,2/5/2005
Ranna,83,Female,Bennett's wallaby,7/25/2013
Robinet,84,Female,"Dove, white-winged",5/31/2014
Joan,85,Female,Woodchuck,4/2/2013
Sanson,86,Male,"Baboon, olive",5/31/2008
Peg,87,Female,"Egret, great",9/7/2006
Ozzie,88,Male,Slender-billed cockatoo,4/17/2019
Star,89,Female,"Bee-eater, white-fronted",6/17/2014
Dede,90,Female,"Porcupine, prehensile-tailed",4/18/2017
Taddeo,91,Male,Red squirrel,1/22/2012
Shara,92,Female,"Robin, white-throated",12/31/2010
Elli,93,Female,"Dragon, ornate rock",5/1/2007
Noella,94,Female,Red-necked phalarope,3/4/2011
Cary,95,Male,Caracal,6/24/2018
Joyan,96,Female,Cook's tree boa,4/1/2002
Ernst,97,Male,Onager,10/18/2011
Marylee,98,Female,"Hornbill, leadbeateri's ground",11/3/2002
Yancy,99,Male,"Hoopoe, eurasian",10/25/2001
Cullan,100,Male,"Finch, common melba",9/28/2005
Terrijo,101,Female,Greater roadrunner,5/22/2019
Mathias,102,Male,Blue waxbill,7/4/2014
Joscelin,103,Female,"Cockatoo, red-tailed",11/11/2007
Suzy,104,Female,Red-tailed cockatoo,11/10/2002
Nicola,105,Male,Thirteen-lined squirrel,12/2/2005
Bonny,106,Female,Gemsbok,5/23/2001
Sara-ann,107,Female,Swallow (unidentified),9/3/2015
Liliane,108,Female,"Turaco, violet-crested",1/22/2014
Ferdinande,109,Female,"Starling, greater blue-eared",12/17/2014
Eileen,110,Female,European stork,11/1/2003
Chickie,111,Female,Arctic fox,9/6/2003
Ronni,112,Female,"Bandicoot, short-nosed",4/10/2003
Sharona,113,Female,"Cat, cape wild",6/16/2014
Devi,114,Female,Violet-eared waxbill,7/1/2015
Scotti,115,Male,Long-necked turtle,3/3/2019
Sollie,116,Male,Margay,7/26/2006
Anabella,117,Female,"Tortoise, asian foreset",5/8/2004
Loralyn,118,Female,"Weaver, chestnut",7/21/2011
Dacey,119,Female,Dark-winged trumpeter,4/18/2007
Olympia,120,Female,Giant girdled lizard,9/23/2001
Gilbertine,121,Female,Australian masked owl,2/16/2014
Fabe,122,Male,Paradoxure,12/27/2002
Kenna,123,Female,European spoonbill,2/6/2004
Salomi,124,Female,Beisa oryx,3/9/2014
Pauline,125,Female,White-winged dove,10/9/2014
Vin,126,Female,Red-tailed hawk,3/30/2010
Brooke,127,Male,Coke's hartebeest,7/20/2019
Spence,128,Male,"Bustard, stanley",10/5/2003
